Freq [GHz],"3.11117,3.65863,2.9958,3.357743.01181","3.2408,3.88729,3.05822,3.357743.13475","3.30562,3.96351,3.12063,3.357743.04255","3.37043,3.73485,3.18304,3.357743.07328","3.17598,3.81107,3.24546,3.357743.10401","3.30562,3.73485,2.9958,3.392013.13475","3.17598,3.65863,3.05822,3.392013.04255","3.37043,3.88729,3.12063,3.392013.10401","3.2408,3.81107,3.18304,3.392013.01181","3.11117,3.96351,3.24546,3.392013.07328","3.37043,3.81107,2.9958,3.426273.04255","3.11117,3.73485,3.05822,3.426273.10401","3.2408,3.65863,3.12063,3.426273.07328","3.17598,3.96351,3.18304,3.426273.13475","3.30562,3.88729,3.24546,3.426273.01181","3.17598,3.88729,2.9958,3.460533.07328","3.37043,3.96351,3.05822,3.460533.01181","3.11117,3.81107,3.12063,3.460533.13475","3.30562,3.65863,3.18304,3.460533.10401","3.2408,3.73485,3.24546,3.460533.04255","3.2408,3.96351,2.9958,3.49483.10401","3.30562,3.81107,3.05822,3.49483.07328","3.17598,3.73485,3.12063,3.49483.01181","3.11117,3.88729,3.18304,3.49483.04255","3.37043,3.65863,3.24546,3.49483.13475","3,4.1,3.5,3.33"
10.61,-0.001614057,-0.040734605,-0.008643979,-0.009837044,-0.014662464,-0.042768576,-0.004286806,-0.039851393,-0.005015735,-0.015479833,-0.015167878,-0.021484295,-0.013881545,-0.127162788,-0.012022681,-0.030594256,-0.02524854,-0.098059181,-0.049565332,-0.017674836,-0.15473556,-0.057981901,-0.014996907,-0.03134275,-0.215698524,-0.002607149
10.62,-0.002064144,-0.061401259,-0.011535203,-0.013279591,-0.020665169,-0.063404155,-0.005653585,-0.057031576,-0.006643407,-0.021534413,-0.020370586,-0.030655641,-0.019027347,-0.202424571,-0.016055068,-0.043031284,-0.033818022,-0.153165851,-0.071059602,-0.024016525,-0.228565011,-0.081160054,-0.020244012,-0.043710009,-0.323452885,-0.003389395
10.63,-0.002658058,-0.095439625,-0.015541503,-0.018119669,-0.029678617,-0.096388475,-0.00751987,-0.083055369,-0.008822131,-0.030430718,-0.027567856,-0.044541713,-0.026370106,-0.334409982,-0.021564874,-0.061310379,-0.04545658,-0.246897901,-0.103374295,-0.032941411,-0.341063264,-0.114419446,-0.027449326,-0.061524167,-0.490617504,-0.004434017
10.64,-0.003448585,-0.154016315,-0.021165087,-0.025027629,-0.043566454,-0.150928629,-0.010098126,-0.123354604,-0.011769887,-0.043769323,-0.037614652,-0.066070917,-0.037003462,-0.576929636,-0.029162495,-0.088560487,-0.0613144,-0.412623259,-0.152728571,-0.045620546,-0.512577896,-0.16226891,-0.037406228,-0.087420009,-0.7504344,-0.005845559
10.65,-0.004510692,-0.260397154,-0.029169454,-0.03505036,-0.065620872,-0.244764218,-0.013704766,-0.187293861,-0.015804893,-0.064231034,-0.051762987,-0.100360305,-0.052647117,-1.04552208,-0.039735339,-0.12976748,-0.082951092,-0.718063723,-0.229293559,-0.063799271,-0.771939633,-0.23105916,-0.051237778,-0.12535338,-1.151294913,-0.00777789
10.66,-0.005952142,-0.466936976,-0.040734939,-0.049857321,-0.101924141,-0.413881758,-0.018818131,-0.291453274,-0.021396565,-0.096447578,-0.071853121,-0.156670635,-0.076052468,-1.994153076,-0.054579199,-0.192937361,-0.112438245,-1.303871955,-0.34980368,-0.090089097,-1.156025449,-0.329421067,-0.070519264,-0.181207649,-1.75696697,-0.010461235
10.67,-0.00792986,-0.902375564,-0.057719634,-0.072173306,-0.164327676,-0.735344895,-0.02617334,-0.465923929,-0.029245025,-0.148704382,-0.100593473,-0.252417863,-0.111700507,-3.969371846,-0.075590845,-0.290947931,-0.152443681,-2.458613503,-0.541694181,-0.128399713,-1.703655866,-0.468417492,-0.097425424,-0.263554118,-2.63772955,-0.01424656
10.68,-0.010675613,-1.913379888,-0.083105796,-0.106561027,-0.277438726,-1.3822913,-0.036920456,-0.766302547,-0.040406484,-0.236403015,-0.141960777,-0.421697132,-0.167017731,-8.110435181,-0.105545473,-0.444330803,-0.206248791,-4.733939275,-0.849020407,-0.184556636,-2.44048793,-0.660926974,-0.134882497,-0.384409797,-3.848138061,-0.019680283
10.69,-0.014536985,-4.500009027,-0.121778625,-0.160877866,-0.496337655,-2.7523319,-0.052893816,-1.295431158,-0.056492952,-0.389372076,-0.201747818,-0.733804408,-0.254507019,-18.08923217,-0.148483675,-0.684939241,-0.277620201,-9.131713363,-1.339039749,-0.267128236,-3.357280871,-0.919609671,-0.186673463,-0.559523287,-5.398146482,-0.027633736
10.7,-0.020044041,-12.02431166,-0.181908781,-0.249065951,-0.955299126,-5.742568917,-0.077080485,-2.237528758,-0.079992837,-0.667756068,-0.288255925,-1.332992265,-0.395453901,-20.08398222,-0.210220811,-1.059353201,-0.370434868,-18.68995936,-2.104618728,-0.388397277,-4.394081695,-1.253033554,-0.257394257,-0.807214191,-7.236681818,-0.039534862
10.71,-0.028020016,-18.53903399,-0.277437259,-0.396628616,-2.01066483,-12.67280348,-0.114452557,-3.896149625,-0.11478777,-1.19663956,-0.413040546,-2.516297715,-0.626154575,-12.03664541,-0.298947894,-1.628271153,-0.48797581,-23.36330657,-3.252520128,-0.565184301,-5.445602316,-1.660571575,-0.352100087,-1.144374658,-9.259711148,-0.057798386
10.72,-0.039769253,-8.53663254,-0.432547304,-0.65152078,-4.667864748,-27.74785532,-0.173475072,-6.719070883,-0.166983993,-2.237118072,-0.591424698,-4.855704256,-1.007470743,-9.3820815,-0.42578524,-2.454794386,-0.631917723,-14.44419917,-4.870147429,-0.818792372,-6.390169311,-2.128335268,-0.475458279,-1.578811582,-11.33375614,-0.086658584
10.73,-0.05740395,-5.692495274,-0.689538098,-1.105498807,-12.25018417,-12.38344639,-0.268878301,-11.42569616,-0.246231813,-4.309572293,-0.842174346,-9.413725398,-1.636479453,-8.301630725,-0.604942638,-3.575972319,-0.801224127,-11.73533344,-6.984407555,-1.172780359,-7.128323573,-2.629260343,-0.630325808,-2.099754502,-13.32143563,-0.133859978
10.74,-0.084426711,-4.496721998,-1.121745116,-1.933028307,-18.80041276,-8.751979316,-0.426772326,-20.40667748,-0.367749378,-8.404314599,-1.185398234,-19.64248637,-2.652536781,-8.01131265,-0.852846091,-4.965778821,-0.991404726,-10.77444085,-9.544644355,-1.64714668,-7.611897334,-3.128837365,-0.815982884,-2.672212276,-15.1081559,-0.214279332
10.75,-0.126796302,-3.975584561,-1.851235179,-3.450379994,-8.72962853,-7.216111535,-0.693890753,-28.66403846,-0.555204349,-17.32503714,-1.637820376,-21.36515538,-4.221368738,-8.261345954,-1.185394749,-6.514617505,-1.194645702,-10.74020728,-12.43595741,-2.248940848,-7.85067099,-3.594477255,-1.026719869,-3.24155978,-16.63244559,-0.358159151
10.76,-0.194926714,-3.81993888,-3.063149517,-6.188111733,-5.837047153,-6.563089978,-1.15313279,-17.95183242,-0.844189042,-22.58670166,-2.205739015,-13.68947778,-6.490210776,-8.992610195,-1.612876827,-8.044568483,-1.401056128,-11.40219261,-15.4894696,-2.962773298,-7.897131739,-4.004148265,-1.251750218,-3.748877605,-17.9109442,-0.631007025
10.77,-0.307516099,-3.920225236,-4.997350915,-11.11057183,-4.603389706,-6.412222967,-1.945128615,-14.86734656,-1.284783001,-13.56317053,-2.878273437,-11.13880925,-9.552745849,-10.25758808,-2.133491961,-9.35615425,-1.600740192,-12.75955008,-18.46616857,-3.747656103,-7.821925236,-4.350752339,-1.47705151,-4.149436595,-19.04393323,-1.184269931
10.78,-0.49895512,-4.250534722,-7.917818528,-22.07576093,-4.049588678,-6.623168426,-3.285032691,-13.69099984,-1.939327401,-10.67588216,-3.625177674,-10.18162953,-13.48631056,-12.22986527,-2.728490691,-10.29069265,-1.785958466,-15.00316203,-21.04581903,-4.544665632,-7.693681769,-4.641590918,-1.688711711,-4.424461741,-20.20425919,-2.38662547
10.79,-0.833449453,-4.835227226,-12.15914278,-22.07147823,-3.859930999,-7.155627704,-5.450102004,-13.48252832,-2.869559514,-9.520633124,-4.40205957,-10.07182024,-18.47484689,-15.32702983,-3.362696818,-10.78435539,-1.952619265,-18.70310818,-22.90736583,-5.293110224,-7.568984931,-4.894714227,-1.876405716,-4.581641963,-21.63757927,-5.153089372
